,ID,Street_Name
0,3311627,16-fromelles-avenue-Seaforth-NSW-2092
1,180288,5-22-lake-street-Laurieton-NSW-2443
2,4062817,regent-street-Kogarah-NSW-2217
3,2506191,14-casuarina-drive-Tamworth-NSW-2340
4,3781700,272-sneaths-road-Wollongbar-NSW-2477
5,2801289,43-skyline-drive-Tweed-Heads-West-NSW-2485
6,2659620,53--warrenlee-drive-West-Albury-NSW-2640
7,1314561,23-ilya-avenue-Bayview-NSW-2104
8,1329371,37-clackmannan-road-Winston-Hills-NSW-2153
9,2655109,52-donald-avenue-Umina-Beach-NSW-2257
10,734103,5-wentworth-place-Wentworth-Point-NSW-2127
11,4083172,37-benjamin-circle-Rutherford-NSW-2320
12,576143,6-10-11-devonport-street-Wakeley-NSW-2176
13,2958398,1809-10-atchison-street-St-Leonards-NSW-2065
14,647165,26-kansas-drive-Tolland-NSW-2650
15,1194974,206-7-9-cliff-road-Epping-NSW-2121
16,4132078,36-empire-circuit-Penrith-NSW-2750
17,3729066,24-osprey-crescent-East-Maitland-NSW-2323
18,3781409,5-thornett-place-Dubbo-NSW-2830
19,3034847,42-jobsons-lane-Mitchells-Island-NSW-2430
20,573483,88-newland-street-Bondi-Junction-NSW-2022
21,3761411,363-cobbitty-road-Cobbitty-NSW-2570
22,1351402,6-27-31-manchester-street-Merrylands-NSW-2160
23,2565900,17-mitchell-drive-West-Hoxton-NSW-2171
24,1476412,28-coota-street-Cowra-NSW-2794
25,3967469,79a-king-road-Wilberforce-NSW-2756
26,2038396,2-78-maitland-street-Muswellbrook-NSW-2333
27,1871111,4-44-st-vincent-street-Ulladulla-NSW-2539
28,2666534,1-bailes-crescent-Young-NSW-2594
29,4093827,47--fortunato-street-Schofields-NSW-2762
30,129937,2-graham-street-Long-Jetty-NSW-2261
31,3800621,12-three-points-avenue-Macmasters-Beach-NSW-2251
32,2171582,75-rovere-lane-Bywong-NSW-2621
33,37846,46-timbara-crescent-Blue-Haven-NSW-2262
34,4162289,45-callan-avenue-Maryland-NSW-2287
35,1487701,2416-91-liverpool-street-Sydney-NSW-2000
36,909337,3-jungarra-crescent-Bonny-Hills-NSW-2445
37,2901183,12-trentham-avenue-Douglas-Park-NSW-2569
38,2925457,44-st-clair-street-Bonnells-Bay-NSW-2264
39,1015449,12-mccrae-drive-Camden-South-NSW-2570
40,4134835,16-ilex-street-Lake-Albert-NSW-2650
41,3912075,11-lloyd-jones-drive-Singleton-NSW-2330
42,3069198,9-11-severn-Deepwater-NSW-2371
43,150581,6-10-monarch-place-Callala-Bay-NSW-2540
44,2685555,161-marina-lane-Culburra-Beach-NSW-2540
45,525288,2-48-kenrose-street-Forster-NSW-2428
46,1004882,16-roberts-place-McGraths-Hill-NSW-2756
47,3913277,19-huene-avenue-Halekulani-NSW-2262
48,675987,5-clarence-street-Casino-NSW-2470
